STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,WT09,WT01,WT06,WT05,WT02,WT04,WT08,WT03
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150314,0.00,0.0,0.0,51,60,37,12.3,320,310,25.9,31.1,-9999,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150315,0.00,0.0,0.0,45,62,29,10.3,250,220,23.9,30.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150316,0.00,0.0,0.0,58,73,42,12.8,20,10,30.0,38.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150317,0.00,0.0,0.0,45,45,28,14.1,20,20,30.0,40.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150318,0.00,0.0,0.0,37,50,28,4.7,100,100,14.1,17.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150319,0.00,0.0,0.0,42,46,37,7.8,130,130,21.9,25.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150320,0.00,0.0,0.0,42,50,38,8.9,220,210,18.1,23.0,-9999,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150321,0.00,0.0,0.0,42,49,32,10.3,360,360,21.0,29.1,-9999,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150322,0.02,0.0,0.2,32,35,26,11.0,40,60,18.1,23.9,-9999,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150323,0.61,2.0,5.6,29,31,28,10.7,100,60,17.0,27.1,-9999,1,-9999,-9999,1,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150324,0.04,5.1,0.0,30,37,19,11.4,100,130,21.9,23.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150325,0.25,2.0,0.0,37,41,35,11.2,270,260,21.9,28.0,-9999,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150326,0.00,0.0,0.0,37,42,31,11.2,320,290,17.0,25.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150327,0.04,1.2,0.6,29,31,21,11.9,20,350,23.0,29.1,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150328,0.00,0.0,0.0,27,36,20,7.2,40,120,15.0,19.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150329,0.01,0.0,0.0,32,47,24,15.2,190,180,30.0,36.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150330,0.00,0.0,0.0,46,61,34,10.7,280,220,21.9,30.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150331,0.00,0.0,0.0,49,58,39,8.5,250,250,23.0,29.1,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150401,0.00,0.0,0.0,52,72,35,11.4,180,180,28.0,34.0,-9999,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150402,0.36,0.0,0.0,58,65,50,11.2,190,190,23.0,28.0,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150403,0.00,0.0,0.0,50,53,30,10.5,20,20,21.9,25.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150404,0.00,0.0,0.0,40,58,28,11.4,250,250,29.1,36.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150405,0.00,0.0,0.0,53,66,36,9.8,240,240,21.0,29.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150406,0.04,0.0,0.0,45,62,34,6.7,50,20,17.0,21.9,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150407,0.00,0.0,0.0,40,46,38,13.9,100,100,21.0,28.0,-9999,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150408,0.05,0.0,0.0,44,50,40,8.9,50,50,17.0,25.1,-9999,1,-9999,-9999,1,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150409,1.41,0.0,0.0,51,71,41,13.9,240,260,33.1,46.1,-9999,1,-9999,-9999,1,-9999,1,1
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150410,0.00,0.0,0.0,53,62,39,17.2,290,250,35.1,46.1,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150411,0.00,0.0,0.0,48,62,38,7.6,240,250,16.1,23.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150412,0.00,0.0,0.0,55,68,41,10.7,180,190,23.0,28.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150413,0.22,0.0,0.0,60,65,49,12.5,300,330,25.1,34.0,-9999,1,-9999,-9999,-9999,-9999,-9999,1
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150414,0.00,0.0,0.0,56,66,39,4.9,80,120,12.1,16.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150415,0.00,0.0,0.0,54,64,43,10.7,60,70,18.1,23.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150416,0.00,0.0,0.0,53,66,45,6.5,100,70,16.1,23.0,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150417,0.00,0.0,0.0,60,78,45,5.1,270,250,14.1,17.0,-9999,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150418,0.00,0.0,0.0,60,65,47,10.3,20,20,25.9,33.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150419,0.46,0.0,0.0,56,68,48,9.6,60,80,16.1,23.0,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150420,0.01,0.0,0.0,49,52,41,16.1,270,270,29.1,36.9,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150421,0.00,0.0,0.0,44,54,38,19.9,270,280,38.0,52.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150422,0.00,0.0,0.0,40,46,34,13.4,310,310,25.9,32.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150423,0.00,0.0,0.0,42,55,32,8.7,310,300,21.9,27.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150424,0.16,0.0,0.0,44,57,29,6.7,110,40,19.9,25.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150425,0.16,0.0,0.0,44,48,39,13.0,60,70,21.9,28.0,-9999,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150426,0.00,0.0,0.0,45,56,35,11.0,20,20,23.0,30.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
